plot_type,model,trace_name,n_points,y_mean,y_min,y_max
length,llama,Original model,1,1329.1987577639752,1329.1987577639752,1329.1987577639752
length,llama,With circuit-breaker,1,400.1770186335404,400.1770186335404,400.1770186335404
length,mistral,Original model,1,1225.832298136646,1225.832298136646,1225.832298136646
length,mistral,With circuit-breaker,1,904.8105590062112,904.8105590062112,904.8105590062112
similarity,llama,Original model,1,0.2989534433292995,0.2989534433292995,0.2989534433292995
similarity,llama,With circuit-breaker,1,0.9671475156635214,0.9671475156635214,0.9671475156635214
similarity,mistral,Original model,1,0.3300935775321856,0.3300935775321856,0.3300935775321856
similarity,mistral,With circuit-breaker,1,0.6387205553410708,0.6387205553410708,0.6387205553410708
refusal_rate,llama,trace,1,0.0,0.0,0.0
refusal_rate,mistral,trace,1,1.8633540372670807,1.8633540372670807,1.8633540372670807
